[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor48] /!\ [Actor48] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor82] /!\ [Actor82] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor51] /!\ [Actor51] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor48] /!\ [Actor48] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor61] /!\ [Actor61] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor82] /!\ [Actor82] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor69] /!\ [Actor69] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor69] /!\ [Actor69] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor69] /!\ [Actor69] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor69] /!\ [Actor69] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor74] /!\ [Actor74] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor74] /!\ [Actor74] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor74] /!\ [Actor74] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor74] /!\ [Actor74] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-3] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-3] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-3] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor29] /!\ [Actor29] received DECIDE from [Actor48], proposal [0]
