[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor90] /!\ [Actor90] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor88] /!\ [Actor88] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor94] /!\ [Actor94] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor95] /!\ [Actor95] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor96] /!\ [Actor96] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor98] /!\ [Actor98] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor9] /!\ [Actor9] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor58] /!\ [Actor58] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.112] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor20] /!\ [Actor20] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.112] [system-akka.actor.default-dispatcher-31] [akka://system/user/Actor2] /!\ [Actor2] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.113] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor2] /!\ [Actor2] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.078] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor36] /!\ Total time for the Process [36] to decide (value [1] ballot [2536]): 323ms
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-9] [akka://system/user/Actor1] /!\ [Actor1] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor2] /!\ [Actor2] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor9] /!\ [Actor9] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-9] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor13] /!\ [Actor13] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor14] /!\ [Actor14] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-13] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-9] [akka://system/user/Actor18] /!\ [Actor18] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-7] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-13] [akka://system/user/Actor20] /!\ [Actor20] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-7] [akka://system/user/Actor24] /!\ [Actor24] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor25] /!\ [Actor25] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-9] [akka://system/user/Actor28] /!\ [Actor28] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-7] [akka://system/user/Actor31] /!\ [Actor31] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-13] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-7] [akka://system/user/Actor34] /!\ [Actor34] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor33] /!\ [Actor33] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor35] /!\ [Actor35] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor38] /!\ [Actor38] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor41] /!\ [Actor41] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-3] [akka://system/user/Actor40] /!\ [Actor40] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-26] [akka://system/user/Actor43] /!\ [Actor43] received DECIDE from [Actor36], proposal [1]
[INFO] [04/03/2024 16:15:44.115] [system-akka.actor.default-dispatcher-7] [akka://system/user/Actor46] /!\ [Actor46] received DECIDE from [Actor36], proposal [1]
